model,graph_seed,strategy,sim_rep,nodes_remaining,edges_remaining,final_fraction_infected,t_25,t_50,t_75,auc_infected
ER,0,none,0,500,1495,0.994,7.0,8.0,10.0,12.174
ER,0,none,1,500,1495,0.994,7.0,8.0,10.0,12.13
ER,0,none,2,500,1495,0.996,6.0,8.0,9.0,12.729
ER,0,none,3,500,1495,0.994,9.0,10.0,11.0,10.521999999999998
ER,0,none,4,500,1495,0.994,10.0,12.0,13.0,8.716000000000001
ER,0,none,5,500,1495,0.996,9.0,10.0,11.0,10.384999999999998
ER,0,none,6,500,1495,0.994,8.0,10.0,11.0,10.646000000000003
ER,0,none,7,500,1495,0.996,7.0,8.0,10.0,11.912999999999998
ER,0,none,8,500,1495,0.986,9.0,11.0,12.0,9.793999999999999
ER,0,none,9,500,1495,0.992,10.0,11.0,13.0,9.253
ER,0,none,10,500,1495,0.994,8.0,9.0,10.0,11.5
ER,0,none,11,500,1495,0.988,6.0,8.0,9.0,12.511000000000001
ER,0,none,12,500,1495,0.996,6.0,8.0,9.0,12.553
ER,0,none,13,500,1495,0.992,8.0,9.0,11.0,11.247
ER,0,none,14,500,1495,0.994,8.0,10.0,11.0,10.934000000000001
ER,0,targeted_pagerank,0,450,1009,0.9822222222222222,10.0,11.0,13.0,9.121111111111112
ER,0,targeted_pagerank,1,450,1009,0.9511111111111111,11.0,13.0,15.0,7.227777777777778
ER,0,targeted_pagerank,2,450,1009,0.9688888888888889,9.0,11.0,13.0,9.243333333333334
ER,0,targeted_pagerank,3,450,1009,0.9733333333333334,9.0,11.0,13.0,9.172222222222224
ER,0,targeted_pagerank,4,450,1009,0.9533333333333334,12.0,14.0,16.0,6.871111111111111
ER,0,targeted_pagerank,5,450,1009,0.9711111111111111,10.0,11.0,14.0,8.886666666666667
ER,0,targeted_pagerank,6,450,1009,0.9666666666666667,10.0,12.0,14.0,8.473333333333333
ER,0,targeted_pagerank,7,450,1009,0.9644444444444444,11.0,13.0,15.0,7.076666666666666
ER,0,targeted_pagerank,8,450,1009,0.9555555555555556,10.0,12.0,15.0,7.916666666666667
ER,0,targeted_pagerank,9,450,1009,0.9644444444444444,11.0,13.0,15.0,7.390000000000001
ER,0,targeted_pagerank,10,450,1009,0.9644444444444444,11.0,13.0,16.0,7.238888888888889
ER,0,targeted_pagerank,11,450,1009,0.9777777777777777,9.0,11.0,13.0,9.534444444444444
ER,0,targeted_pagerank,12,450,1009,0.9777777777777777,8.0,10.0,12.0,10.496666666666668
ER,0,targeted_pagerank,13,450,1009,0.9755555555555555,10.0,12.0,14.0,8.23777777777778
ER,0,targeted_pagerank,14,450,1009,0.66,17.0,19.0,,1.9666666666666668
ER,0,random,0,450,1219,0.9955555555555555,8.0,9.0,11.0,11.290000000000003
ER,0,random,1,450,1219,0.9911111111111112,8.0,10.0,11.0,10.941111111111113
ER,0,random,2,450,1219,0.9866666666666667,8.0,10.0,11.0,10.518888888888888
ER,0,random,3,450,1219,0.9911111111111112,8.0,10.0,11.0,10.510000000000002
ER,0,random,4,450,1219,0.9866666666666667,9.0,11.0,12.0,9.858888888888888
ER,0,random,5,450,1219,0.9933333333333333,7.0,9.0,11.0,11.4
ER,0,random,6,450,1219,0.9866666666666667,9.0,11.0,13.0,9.772222222222222
ER,0,random,7,450,1219,0.9933333333333333,9.0,10.0,12.0,10.155555555555555
ER,0,random,8,450,1219,0.9844444444444445,9.0,11.0,13.0,9.644444444444446
ER,0,random,9,450,1219,0.9844444444444445,10.0,12.0,13.0,8.906666666666666
ER,0,random,10,450,1219,0.9955555555555555,9.0,10.0,12.0,10.252222222222223
ER,0,random,11,450,1219,0.9933333333333333,7.0,9.0,11.0,11.544444444444444
ER,0,random,12,450,1219,0.9933333333333333,6.0,8.0,10.0,12.533333333333337
ER,0,random,13,450,1219,0.9911111111111112,9.0,11.0,13.0,9.616666666666667
ER,0,random,14,450,1219,0.9822222222222222,12.0,14.0,15.0,6.721111111111112
WS,0,none,0,500,1500,1.0,10.0,12.0,14.0,8.811
WS,0,none,1,500,1500,1.0,10.0,12.0,13.0,8.995000000000001
WS,0,none,2,500,1500,1.0,9.0,11.0,13.0,9.786999999999999
WS,0,none,3,500,1500,1.0,9.0,11.0,13.0,9.811
WS,0,none,4,500,1500,0.97,13.0,15.0,17.0,5.598
WS,0,none,5,500,1500,1.0,9.0,11.0,13.0,9.839
WS,0,none,6,500,1500,1.0,9.0,12.0,13.0,9.225
WS,0,none,7,500,1500,0.998,10.0,12.0,14.0,9.054
WS,0,none,8,500,1500,0.992,11.0,13.0,15.0,7.8870000000000005
WS,0,none,9,500,1500,0.992,11.0,13.0,15.0,7.413000000000001
WS,0,none,10,500,1500,1.0,10.0,12.0,14.0,8.435
WS,0,none,11,500,1500,1.0,8.0,10.0,11.0,10.933000000000002
WS,0,none,12,500,1500,1.0,8.0,10.0,12.0,10.305
WS,0,none,13,500,1500,0.992,12.0,14.0,16.0,6.599
WS,0,none,14,500,1500,1.0,10.0,12.0,13.0,8.917000000000002
WS,0,targeted_pagerank,0,450,1121,0.9511111111111111,13.0,15.0,18.0,5.716666666666667
WS,0,targeted_pagerank,1,450,1121,0.9066666666666666,12.0,16.0,18.0,5.45
WS,0,targeted_pagerank,2,450,1121,0.9666666666666667,11.0,14.0,16.0,6.826666666666667
