model,strategy,metric,mean,std,n,ci_lower,ci_upper
BA,none,final_fraction_infected,0.9985833333333333,0.011703323763565887,120.0,0.9964893430217902,1.0006773236448765
BA,random,final_fraction_infected,0.9963148148148147,0.00802266647503891,120.0,0.9948793776509064,0.9977502519787229
BA,targeted_pagerank,final_fraction_infected,0.3421666666666666,0.23361486950061547,120.0,0.3003676629605898,0.38396567037274343
ER,none,final_fraction_infected,0.9770000000000001,0.12754962784353865,120.0,0.9541784759320436,0.9998215240679565
ER,random,final_fraction_infected,0.9637407407407409,0.15463459086923145,120.0,0.9360731019014518,0.99140837958003
ER,targeted_pagerank,final_fraction_infected,0.9502037037037037,0.10879242505247452,120.0,0.9307382690433064,0.969669138364101
WS,none,final_fraction_infected,0.9911833333333334,0.0335000271750381,120.0,0.9851894179501373,0.9971772487165296
WS,random,final_fraction_infected,0.970074074074074,0.054454396722445696,120.0,0.9603309462702692,0.9798172018778788
WS,targeted_pagerank,final_fraction_infected,0.8372037037037037,0.14046607636162914,120.0,0.8120711337651179,0.8623362736422895
BA,none,t_25,6.975,1.8985288422106952,120.0,6.635310089502031,7.314689910497968
BA,random,t_25,7.258333333333334,2.1556875458930054,120.0,6.872631892699274,7.644034773967394
BA,targeted_pagerank,t_25,16.25,2.299724417047877,72.0,15.718790761482754,16.781209238517246
ER,none,t_25,8.084745762711865,1.4534149070640183,118.0,7.822502295659101,8.34698922976463
ER,random,t_25,8.512820512820513,1.6641005886756874,117.0,8.211282051282051,8.814358974358974
ER,targeted_pagerank,t_25,10.369747899159664,2.0537916411842003,119.0,10.000737187865862,10.738758610453466
WS,none,t_25,10.408333333333333,1.621783608509203,120.0,10.118159427847612,10.698507238819055
WS,random,t_25,11.358333333333333,1.6892931908327333,120.0,11.056080430959403,11.660586235707262
WS,targeted_pagerank,t_25,13.193277310924369,2.022237856403315,119.0,12.82993595981907,13.556618662029669
BA,none,t_50,8.216666666666667,1.9017167535267332,120.0,7.87640636646192,8.556926966871414
BA,random,t_50,8.65,2.1090043052739045,120.0,8.27265125092115,9.02734874907885
BA,targeted_pagerank,t_50,18.37142857142857,1.2853407487262412,35.0,17.9455945800243,18.79726256283284
ER,none,t_50,9.55084745762712,1.4998430551918276,118.0,9.280226837928748,9.821468077325491
ER,random,t_50,10.213675213675213,1.7010598107683856,117.0,9.905439664806016,10.52191076254441
ER,targeted_pagerank,t_50,12.279661016949152,1.8576963641952515,118.0,11.944471985303682,12.614850048594622
WS,none,t_50,12.516666666666667,1.6397547128175247,120.0,12.223277322638051,12.810056010695284
WS,random,t_50,13.708333333333334,1.7699443723553836,120.0,13.391650103632335,14.025016563034333
WS,targeted_pagerank,t_50,16.0,2.0171676968565055,117.0,15.634485049693271,16.36551495030673
BA,none,t_75,9.516666666666667,1.9788093072627801,120.0,9.162612758434262,9.870720574899073
BA,random,t_75,10.125,2.1205774542552787,120.0,9.745580551833385,10.504419448166615
BA,targeted_pagerank,t_75,,,0.0,,
ER,none,t_75,10.957627118644067,1.4405249980571404,118.0,10.697709411710818,11.217544825577317
ER,random,t_75,11.786324786324787,1.6755290457821528,117.0,11.482715464769154,12.08993410788042
ER,targeted_pagerank,t_75,14.162393162393162,1.8192328098691952,117.0,13.832744422165982,14.492041902620342
WS,none,t_75,14.3,1.6274948527716822,120.0,14.008804223258378,14.591195776741623
WS,random,t_75,15.728813559322035,1.662358621707422,118.0,15.428869829336328,16.02875728930774
WS,targeted_pagerank,t_75,17.696629213483146,1.533004287354072,89.0,17.378132879734494,18.015125547231797
BA,none,auc_infected,12.203658333333331,1.8611313514883892,120.0,11.870659682927844,12.536656983738819
BA,random,auc_infected,11.676564814814814,2.0721106174507273,120.0,11.305817184052398,12.04731244557723
BA,targeted_pagerank,auc_infected,1.823638888888889,1.4406178787772852,120.0,1.5658796452980455,2.0813981324797326
ER,none,auc_infected,10.7544,1.9893125428844285,120.0,10.398466824469184,11.110333175530817
ER,random,auc_infected,10.041351851851852,2.250503950126016,120.0,9.638685603967275,10.444018099736429
ER,targeted_pagerank,auc_infected,8.086083333333333,2.01227798329973,120.0,7.726041119148072,8.446125547518593
WS,none,auc_infected,8.332608333333333,1.545431142670774,120.0,8.056095617348822,8.609121049317844
WS,random,auc_infected,7.155833333333334,1.5955630541269714,120.0,6.870350880288722,7.441315786377945
WS,targeted_pagerank,auc_infected,5.086935185185185,1.7032095745918934,120.0,4.782192325825351,5.391678044545019
